"hashtag_name","hashtag_name"
"#debatenight                  ","#debatenight                  "
"#debatenight                  ","#debatenight                  "
"#debatenight                  ","#debatenight                  "
"#debatenight                  ","#debatenight                  "
"#debatenight                  ","#debatenight                  "
"#debatenight                  ","#debatenight                  "
"#debatenight                  ","#debatenight                  "
"#debates2016                  ","#maga                         "
"#debates2016                  ","#debates2016                  "
"#maga                         ","#maga                         "
"#maga                         ","#debates2016                  "
"#debatenight                  ","#debatenight                  "
"#maga…                        ","#maga…                        "
"#debatenight…                 ","#debatenight…                 "
"#debates2016                  ","#debates2016                  "
"#debatenight                  ","#debatenight                  "
"#debatenight                  ","#debatenight                  "
"#debates2016                  ","#debates2016                  "
"#debatenight                  ","#debatenight                  "
"#debates2016                  ","#debates2016                  "
"#debate                       ","#debate                       "
"#debatenight                  ","#debatenight                  "
"#tpp                          ","#debates2016                  "
"#tpp                          ","#tpp                          "
"#debates2016                  ","#debates2016                  "
"#debates2016                  ","#tpp                          "
"#debatenight                  ","#debatenight                  "
"#debatenight                  ","#debatenight                  "
"#debate                       ","#debate                       "
"#debates2016                  ","#debates2016                  "
"#debatenight                  ","#debatenight                  "
"#debatenight                  ","#debatenight                  "
"#debatenight                  ","#debatenight                  "
"#debatenight                  ","#debatenight                  "
"#debatenight                  ","#debatenight                  "
"#debatenight                  ","#debatenight                  "
"#debatenight                  ","#debatenight                  "
"#debatenight                  ","#trumppence16                 "
"#debatenight                  ","#debatenight                  "
"#trumppence16                 ","#trumppence16                 "
"#trumppence16                 ","#debatenight                  "
"#debatenight                  ","#debatenight                  "
"#debatenight                  ","#debatenight                  "
"#debatenight                  ","#debatenight                  "
"#polls                        ","#debates2016                  "
"#polls                        ","#slipping                     "
"#polls                        ","#polls                        "
"#slipping                     ","#debates2016                  "
"#slipping                     ","#slipping                     "
"#slipping                     ","#polls                        "
"#debates2016                  ","#debates2016                  "
"#debates2016                  ","#slipping                     "
"#debates2016                  ","#polls                        "
"#debatenight                  ","#debatenight                  "
"#debatenight                  ","#debatenight                  "
"#debatenight                  ","#debatenight                  "
"#debates2016                  ","#debates2016                  "
"#trumptrain…                  ","#trumptrain…                  "
"#lovetrumpshate               ","#lovetrumpshate               "
"#americafirst…                ","#americafirst…                "
"#lovetrumpshate               ","#lovetrumpshate               "
"#trumptrain                   ","#maga…                        "
"#trumptrain                   ","#trumptrain                   "
"#maga…                        ","#maga…                        "
"#maga…                        ","#trumptrain                   "
"#declareyourambition          ","#declareyourambition          "
"#opioidawarenessweek          ","#opioidawarenessweek          "
"#trumptrain                   ","#maga…                        "
"#trumptrain                   ","#trumptrain                   "
"#maga…                        ","#maga…                        "
"#maga…                        ","#trumptrain                   "
"#makeamericagreatagain        ","#makeamericagreatagain        "
"#ada                          ","#cripthevote                  "
"#ada                          ","#imwithher                    "
"#ada                          ","#ada                          "
"#imwithher                    ","#cripthevote                  "
"#imwithher                    ","#imwithher                    "
"#imwithher                    ","#ada                          "
"#cripthevote                  ","#cripthevote                  "
"#cripthevote                  ","#imwithher                    "
"#cripthevote                  ","#ada                          "
"#maga                         ","#maga                         "
"#maga…                        ","#maga…                        "
"#terencecrutcher              ","#terencecrutcher              "
"#unga                         ","#unga                         "
"#americafirst                 ","#makeamericagreatagain        "
"#americafirst                 ","#americafirst                 "
"#makeamericagreatagain        ","#makeamericagreatagain        "
"#makeamericagreatagain        ","#americafirst                 "
"#americafirst                 ","#makeamericagreatagain        "
"#americafirst                 ","#americafirst                 "
"#makeamericagreatagain        ","#makeamericagreatagain        "
"#makeamericagreatagain        ","#americafirst                 "
"#imwithyou                    ","#americafirst                 "
"#imwithyou                    ","#imwithyou                    "
"#americafirst                 ","#americafirst                 "
"#americafirst                 ","#imwithyou                    "
"#polls                        ","#polls                        "
"#maga                         ","#maga                         "
"#americafirst                 ","#americafirst                 "
"#thedonald's                  ","#trumppence16                 "
"#thedonald's                  ","#thetonightshow               "
"#thedonald's                  ","#jimmyfallon                  "
"#thedonald's                  ","#thedonald's                  "
"#jimmyfallon                  ","#trumppence16                 "
"#jimmyfallon                  ","#thetonightshow               "
"#jimmyfallon                  ","#jimmyfallon                  "
"#jimmyfallon                  ","#thedonald's                  "
"#thetonightshow               ","#trumppence16                 "
"#thetonightshow               ","#thetonightshow               "
"#thetonightshow               ","#jimmyfallon                  "
"#thetonightshow               ","#thedonald's                  "
"#trumppence16                 ","#trumppence16                 "
"#trumppence16                 ","#thetonightshow               "
"#trumppence16                 ","#jimmyfallon                  "
"#trumppence16                 ","#thedonald's                  "
"#myteacherisweird             ","#fallontonight                "
"#myteacherisweird             ","#myteacherisweird             "
"#fallontonight                ","#fallontonight                "
"#fallontonight                ","#myteacherisweird             "
"#hispanicheritagemonth        ","#hispanicheritagemonth        "
"#maga                         ","#maga                         "
"#lesm                         ","#maga                         "
"#lesm                         ","#lesm                         "
"#maga                         ","#maga                         "
"#maga                         ","#lesm                         "
"#maga                         ","#maga                         "
"#librarianofcongress          ","#librarianofcongress          "
"#maga                         ","#americafirst                 "
"#maga                         ","#maga                         "
"#americafirst                 ","#americafirst                 "
"#americafirst                 ","#maga                         "
"#wetrumphate                  ","#wetrumphate                  "
"#imwithyou                    ","#imwithyou                    "
"#imwithyou                    ","#americafirst                 "
"#imwithyou                    ","#imwithyou                    "
"#americafirst                 ","#americafirst                 "
"#americafirst                 ","#imwithyou                    "
"#election2016                 ","#election2016                 "
"#makeamericagreatagain        ","#makeamericagreatagain        "
"#makeamericagreatagain        ","#makeamericagreatagain        "
"#americafirst                 ","#maga                         "
"#americafirst                 ","#americafirst                 "
"#maga                         ","#maga                         "
"#maga                         ","#americafirst                 "
"#maga                         ","#maga                         "
"#americafirst                 ","#americafirst                 "
"#americafirst                 ","#imwithyou                    "
"#americafirst                 ","#americafirst                 "
"#imwithyou                    ","#imwithyou                    "
"#imwithyou                    ","#americafirst                 "
"#lovetrumpshate               ","#lovetrumpshate               "
"#makeamericagreatagain        ","#makeamericagreatagain        "
"#imwithyou                    ","#maga                         "
"#imwithyou                    ","#imwithyou                    "
"#maga                         ","#maga                         "
"#maga                         ","#imwithyou                    "
"#americafirst                 ","#trumptrain                   "
"#americafirst                 ","#americafirst                 "
"#trumptrain                   ","#trumptrain                   "
"#trumptrain                   ","#americafirst                 "
"#americafirst                 ","#imwithyou                    "
"#americafirst                 ","#americafirst                 "
"#imwithyou                    ","#imwithyou                    "
"#imwithyou                    ","#americafirst                 "
"#potus                        ","#potus                        "
"#commanderinchiefforum        ","#commanderinchiefforum        "
"#nbcnewsforum                 ","#nbcnewsforum                 "
"#nbcnewsforum                 ","#nbcnewsforum                 "
"#nbcnewsforum                 ","#nbcnewsforum                 "
"#nbcnewsforum                 ","#nbcnewsforum                 "
"#nbcnewsforum                 ","#nbcnewsforum                 "
"#nbcnewsforum                 ","#nbcnewsforum                 "
"#nbcnewsforum                 ","#nbcnewsforum                 "
"#nbcnewsforum                 ","#nbcnewsforum                 "
"#nbcnewsforum                 ","#nbcnewsforum                 "
"#nbcnewsforum                 ","#nbcnewsforum                 "
"#nbcnewsforum                 ","#nbcnewsforum                 "
"#nbcnewsforum                 ","#nbcnewsforum                 "
"#americafirst                 ","#americafirst                 "
"#americafirst                 ","#maga                         "
"#americafirst                 ","#americafirst                 "
"#maga                         ","#maga                         "
"#maga                         ","#americafirst                 "
"#media                        ","#media                        "
"#votetrump                    ","#makeamericagreatagain        "
"#votetrump                    ","#votetrump                    "
"#makeamericagreatagain        ","#makeamericagreatagain        "
"#makeamericagreatagain        ","#votetrump                    "
"#imwithyou                    ","#imwithyou                    "
"#votetrump                    ","#votetrump                    "
"#votetrump                    ","#imwithyou                    "
"#votetrump                    ","#votetrump                    "
"#imwithyou                    ","#imwithyou                    "
"#imwithyou                    ","#votetrump                    "
"#1                            ","#1                            "
"#americafirst                 ","#americafirst                 "
"#americafirst                 ","#americafirst                 "
"#laborday                     ","#laborday                     "
"#americafirst                 ","#americafirst                 "
"#laborday                     ","#americafirst                 "
"#laborday                     ","#laborday                     "
"#americafirst                 ","#americafirst                 "
"#americafirst                 ","#laborday                     "
"#maga                         ","#maga                         "
"#makeamericagreatagain        ","#imwithyou                    "
"#makeamericagreatagain        ","#makeamericagreatagain        "
"#imwithyou                    ","#imwithyou                    "
"#imwithyou                    ","#makeamericagreatagain        "
"#maga                         ","#maga                         "
"#imwithyou                    ","#imwithyou                    "
"#alconvention2016             ","#alconvention2016             "
"#americafirst                 ","#imwithyou                    "
"#americafirst                 ","#americafirst                 "
"#imwithyou                    ","#imwithyou                    "
"#imwithyou                    ","#americafirst                 "
"#americafirst                 ","#americafirst                 "
"#makeamericagreatagain        ","#imwithyou                    "
"#makeamericagreatagain        ","#makeamericagreatagain        "
"#imwithyou                    ","#imwithyou                    "
"#imwithyou                    ","#makeamericagreatagain        "
"#makeamericagreatagain        ","#imwithyou                    "
"#makeamericagreatagain        ","#makeamericagreatagain        "
"#imwithyou                    ","#imwithyou                    "
"#imwithyou                    ","#makeamericagreatagain        "
"#trumppence16                 ","#trumppence16                 "
"#imwithyou                    ","#imwithyou                    "
"#imwithyou                    ","#americafirst                 "
"#imwithyou                    ","#imwithyou                    "
"#americafirst                 ","#americafirst                 "
"#americafirst                 ","#imwithyou                    "
"#trumpineverett               ","#trumpineverett               "
"#maga                         ","#maga                         "
"#maga                         ","#maga                         "
"#imwithyou                    ","#imwithyou                    "
"#imwithyou                    ","#imwithyou                    "
"#obamacare                    ","#obamacare                    "
"#rip                          ","#divodejuarez                 "
"#rip                          ","#juangabriel                  "
"#rip                          ","#rip                          "
"#juangabriel                  ","#divodejuarez                 "
"#juangabriel                  ","#juangabriel                  "
"#juangabriel                  ","#rip                          "
"#divodejuarez                 ","#divodejuarez                 "
"#divodejuarez                 ","#juangabriel                  "
"#divodejuarez                 ","#rip                          "
"#goodtrouble                  ","#goodtrouble                  "
"#votetrump                    ","#votetrump                    "
"#trumppence2016               ","#neverhillary                 "
"#trumppence2016               ","#trumppence2016               "
"#neverhillary                 ","#neverhillary                 "
"#neverhillary                 ","#trumppence2016               "
"#strongertogether             ","#strongertogether             "
"#imwithyou                    ","#imwithyou                    "
"#strongertogether             ","#strongertogether             "
"#blackmenforbernie            ","#blacksfortrump               "
"#blackmenforbernie            ","#hillary2016                  "
"#blackmenforbernie            ","#blackmenforbernie            "
"#hillary2016                  ","#blacksfortrump               "
"#hillary2016                  ","#hillary2016                  "
"#hillary2016                  ","#blackmenforbernie            "
"#blacksfortrump               ","#blacksfortrump               "
"#blacksfortrump               ","#hillary2016                  "
"#blacksfortrump               ","#blackmenforbernie            "
"#imwithyou                    ","#imwithyou                    "
"#americafirst                 ","#trumppence16                 "
"#americafirst                 ","#americafirst                 "
"#trumppence16                 ","#trumppence16                 "
"#trumppence16                 ","#americafirst                 "
"#imwithyou                    ","#imwithyou                    "
"#makeamericagreatagain        ","#makeamericagreatagain        "
"#enjoy                        ","#enjoy                        "
"#womensequalityday            ","#womensequalityday            "
"#crookedhillary               ","#crookedhillary               "
"#womensequalityday            ","#womensequalityday            "
"#womensequalityday            ","#womensequalityday            "
"#womensequalityday            ","#womensequalityday            "
"#flashbackfriday              ","#flashbackfriday              "
"#nps100                       ","#nps100                       "
"#crookedhillary's             ","#crookedhillary's             "
"#nps100                       ","#nps100                       "
"#brexit                       ","#maga                         "
"#brexit                       ","#brexit                       "
"#maga                         ","#maga                         "
"#maga                         ","#brexit                       "
"#hannity                      ","#buildthewall                 "
"#hannity                      ","#hannity                      "
"#buildthewall                 ","#buildthewall                 "
"#buildthewall                 ","#hannity                      "
"#americafirst                 ","#imwithyou                    "
"#americafirst                 ","#americafirst                 "
"#imwithyou                    ","#imwithyou                    "
"#imwithyou                    ","#americafirst                 "
"#trumppence16                 ","#trumppence16                 "
"#makeamericagreatagain        ","#makeamericagreatagain        "
"#makeamericagreatagain        ","#makeamericagreatagain        "
"#makeamericasafeagain         ","#makeamericasafeagain         "
"#makeamericagreatagain        ","#makeamericagreatagain        "
"#imwithher                    ","#imwithher                    "
"#diwali                       ","#diwali                       "
"#blackwomensequalpay          ","#blackwomensequalpay          "
"#laflood                      ","#laflood                      "
"#smallbiz                     ","#smallbiz                     "
"#teamtrump                    ","#teamtrump                    "
"#maga                         ","#trumppence16                 "
"#maga                         ","#maga                         "
"#trumppence16                 ","#trumppence16                 "
"#trumppence16                 ","#maga                         "
"#maga                         ","#maga                         "
"#trumppence16                 ","#trumppence16                 "
"#trumppence16                 ","#trumppence16                 "
"#maga                         ","#alwaystrump                  "
"#maga                         ","#maga                         "
"#alwaystrump                  ","#alwaystrump                  "
"#alwaystrump                  ","#maga                         "
"#standwithlouisiana           ","#standwithlouisiana           "
"#whereshillary                ","#whereshillary                "
"#trumppence16                 ","#trumppence16                 "
"#whd                          ","#whd                          "
"#imwithyou                    ","#trumptrain                   "
"#imwithyou                    ","#imwithyou                    "
"#trumptrain                   ","#trumptrain                   "
"#trumptrain                   ","#imwithyou                    "
"#makeamericagreatagain        ","#makeamericagreatagain        "
"#rosanelleaton                ","#rosanelleaton                "
"#makeamericagreatagain        ","#imwithyou                    "
"#makeamericagreatagain        ","#makeamericagreatagain        "
"#imwithyou                    ","#imwithyou                    "
"#imwithyou                    ","#makeamericagreatagain        "
"#obamacare                    ","#obamacare                    "
"#imwithyou                    ","#imwithyou                    "
"#makeamericagreatagain        ","#imwithyou                    "
"#makeamericagreatagain        ","#makeamericagreatagain        "
"#imwithyou                    ","#imwithyou                    "
"#imwithyou                    ","#makeamericagreatagain        "
"#imwithyou                    ","#imwithyou                    "
"#lawandorder                  ","#imwithyou                    "
"#lawandorder                  ","#lawandorder                  "
"#imwithyou                    ","#imwithyou                    "
"#imwithyou                    ","#lawandorder                  "
"#lawandorder                  ","#imwithyou                    "
"#lawandorder                  ","#lawandorder                  "
"#imwithyou                    ","#imwithyou                    "
"#imwithyou                    ","#lawandorder                  "
"#makeamericagreatagain        ","#makeamericagreatagain        "
"#obamacare                    ","#obamacare                    "
"#daca                         ","#daca                         "
"#extremevetting               ","#extremevetting               "
"#makeamericagreatagain        ","#usa                          "
"#makeamericagreatagain        ","#makeamericagreatagain        "
"#usa                          ","#usa                          "
"#usa                          ","#makeamericagreatagain        "
"#trumptrain                   ","#trumptrain                   "
"#makeamericagreatagain        ","#makeamericagreatagain        "
"#youthday                     ","#youthday                     "
"#maga                         ","#maga                         "
"#tbt                          ","#tbt                          "
"#makeamericagreatagain        ","#makeamericagreatagain        "
"#makeamericagreatagain        ","#makeamericagreatagain        "
"#maga                         ","#maga                         "
"#lesm                         ","#lesm                         "
"#trumppence16                 ","#trumppence16                 "
"#trumppence16                 ","#trumppence16                 "
"#makeamericagreatagain        ","#makeamericagreatagain        "
"#electionday                  ","#neverhillary                 "
"#electionday                  ","#defendthesecond              "
"#electionday                  ","#2a                           "
"#electionday                  ","#electionday                  "
"#2a                           ","#neverhillary                 "
"#2a                           ","#defendthesecond              "
"#2a                           ","#2a                           "
"#2a                           ","#electionday                  "
"#defendthesecond              ","#neverhillary                 "
"#defendthesecond              ","#defendthesecond              "
"#defendthesecond              ","#2a                           "
"#defendthesecond              ","#electionday                  "
"#neverhillary                 ","#neverhillary                 "
"#neverhillary                 ","#defendthesecond              "
"#neverhillary                 ","#2a                           "
"#neverhillary                 ","#electionday                  "
"#scotus                       ","#neverhillary                 "
"#scotus                       ","#scotus                       "
"#neverhillary                 ","#neverhillary                 "
"#neverhillary                 ","#scotus                       "
"#maga                         ","#neverhillary                 "
"#maga                         ","#maga                         "
"#neverhillary                 ","#neverhillary                 "
"#neverhillary                 ","#maga                         "
"#makeamericagreatagain        ","#makeamericagreatagain        "
"#taxplan                      ","#smallbiz                     "
"#taxplan                      ","#taxplan                      "
"#smallbiz                     ","#smallbiz                     "
"#smallbiz                     ","#taxplan                      "
"#nevertrump                   ","#nevertrump                   "
"#icymi                        ","#icymi                        "
"#purpleheartday               ","#purpleheartday               "
"#imwithhernandez              ","#imwithhernandez              "
"#virwinia                     ","#virwinia                     "
"#trumppence16                 ","#maga                         "
"#trumppence16                 ","#trumppence16                 "
"#maga                         ","#maga                         "
"#maga                         ","#trumppence16                 "
"#demconvention                ","#demconvention                "
"#restorethevra                ","#restorethevra                "
"#crookedhillary               ","#trumppence16                 "
"#crookedhillary               ","#crookedhillary               "
"#trumppence16                 ","#trumppence16                 "
"#trumppence16                 ","#crookedhillary               "
"#ugpride2016                  ","#ugpride2016                  "
"#restorethevra                ","#restorethevra                "
"#teamusa                      ","#rio2016                      "
"#teamusa                      ","#openingceremony              "
"#teamusa                      ","#teamusa                      "
"#openingceremony              ","#rio2016                      "
"#openingceremony              ","#openingceremony              "
"#openingceremony              ","#teamusa                      "
"#rio2016                      ","#rio2016                      "
"#rio2016                      ","#openingceremony              "
"#rio2016                      ","#teamusa                      "
"#trumppence16                 ","#maga                         "
"#trumppence16                 ","#trumppence16                 "
"#maga                         ","#maga                         "
"#maga                         ","#trumppence16                 "
"#trumppence16                 ","#trumppence16                 "
"#maga                         ","#trumptrain                   "
"#maga                         ","#maga                         "
"#trumptrain                   ","#trumptrain                   "
"#trumptrain                   ","#maga                         "
"#nabjnahj16                   ","#nabjnahj16                   "
"#makeamericagreatagain        ","#makeamericagreatagain        "
"#coastguardday                ","#coastguardday                "
"#maga                         ","#maga                         "
"#makeamericagreatagain        ","#makeamericagreatagain        "
"#maga                         ","#imwithyou                    "
"#maga                         ","#maga                         "
"#imwithyou                    ","#imwithyou                    "
"#imwithyou                    ","#maga                         "
"#lesm                         ","#maga                         "
"#lesm                         ","#lesm                         "
"#maga                         ","#maga                         "
"#maga                         ","#lesm                         "
"#makeamericagreatagain        ","#makeamericagreatagain        "
"#icymi                        ","#icymi                        "
"#makeamericagreatagain        ","#makeamericagreatagain        "
"#imwithyou                    ","#imwithyou                    "
"#demconvention                ","#demconvention                "
"#demconvention                ","#imwithher                    "
"#demconvention                ","#demconvention                "
"#imwithher                    ","#imwithher                    "
"#imwithher                    ","#demconvention                "
"#crookedhillary               ","#crookedhillary               "
"#maga                         ","#maga                         "
"#trumpmovement                ","#maga                         "
"#trumpmovement                ","#trumpmovement                "
"#maga                         ","#maga                         "
"#maga                         ","#trumpmovement                "
"#imwithyou                    ","#maga                         "
"#imwithyou                    ","#imwithyou                    "
"#maga                         ","#maga                         "
"#maga                         ","#imwithyou                    "
"#imwithyou                    ","#maga                         "
"#imwithyou                    ","#imwithyou                    "
"#maga                         ","#maga                         "
"#maga                         ","#imwithyou                    "
"#makeamericagreatagain        ","#imwithyou                    "
"#makeamericagreatagain        ","#makeamericagreatagain        "
"#imwithyou                    ","#imwithyou                    "
"#imwithyou                    ","#makeamericagreatagain        "
"#voterfraud                   ","#msm                          "
"#voterfraud                   ","#voterfraud                   "
"#msm                          ","#msm                          "
"#msm                          ","#voterfraud                   "
"#1                            ","#1                            "
"#crookedhillary               ","#crookedhillary               "
"#imwithher                    ","#imwithher                    "
"#khizrkhan                    ","#khizrkhan                    "
"#maga                         ","#maga                         "
"#trump2016                    ","#trump2016                    "
"#makeamericagreatagain        ","#makeamericagreatagain        "
"#crookedhillary               ","#crookedhillary               "
"#makeamericagreatagain        ","#lesm                         "
"#makeamericagreatagain        ","#makeamericagreatagain        "
"#lesm                         ","#lesm                         "
"#lesm                         ","#makeamericagreatagain        "
"#trumppence16                 ","#trumppence16                 "
"#neverhillary                 ","#neverhillary                 "
"#neverhillary                 ","#neverhillary                 "
"#strongertogether             ","#strongertogether             "
"#demconvention                ","#demconvention                "
"#demsinphilly                 ","#demsinphilly                 "
"#demsinphilly                 ","#demsinphilly                 "
"#demconvention                ","#demsinphilly                 "
"#demconvention                ","#demconvention                "
"#demsinphilly                 ","#demsinphilly                 "
"#demsinphilly                 ","#demconvention                "
"#tbt                          ","#maga                         "
"#tbt                          ","#tbt                          "
"#maga                         ","#maga                         "
"#maga                         ","#tbt                          "
"#demsinphilly                 ","#demsinphilly                 "
"#maga                         ","#maga                         "
"#dnc                          ","#dnc                          "
"#nato                         ","#demsinphilly                 "
"#nato                         ","#nato                         "
"#demsinphilly                 ","#demsinphilly                 "
"#demsinphilly                 ","#nato                         "
"#demsinphilly                 ","#demsinphilly                 "
"#stopgunviolence              ","#stopgunviolence              "
"#makeamericagreatagain        ","#makeamericagreatagain        "
"#enough                       ","#imwithher                    "
"#enough                       ","#enough                       "
"#imwithher                    ","#imwithher                    "
"#imwithher                    ","#enough                       "
"#demsinphilly                 ","#demsinphilly                 "
"#lgbt                         ","#pulse                        "
"#lgbt                         ","#lgbt                         "
"#pulse                        ","#pulse                        "
"#pulse                        ","#lgbt                         "
"#demsinphilly                 ","#demsinphilly                 "
"#demsinphilly                 ","#demsinphilly                 "
"#demsinphilly                 ","#demsinphilly                 "
"#demsinphilly                 ","#demsinphilly                 "
"#demsinphilly                 ","#dncinphl                     "
"#demsinphilly                 ","#demsinphilly                 "
"#dncinphl                     ","#dncinphl                     "
"#dncinphl                     ","#demsinphilly                 "
"#demsinphilly                 ","#demsinphilly                 "
"#makeamericagreatagain        ","#makeamericagreatagain        "
"#demsinphilly                 ","#demsinphilly                 "
"#demconvention                ","#demconvention                "
"#maga                         ","#maga                         "
"#makeamericagreatagain        ","#makeamericagreatagain        "
"#demsinphl                    ","#demsinphl                    "
"#strongertogether             ","#demsinphilly                 "
"#strongertogether             ","#strongertogether             "
"#demsinphilly                 ","#demsinphilly                 "
"#demsinphilly                 ","#strongertogether             "
"#demconvention                ","#demconvention                "
"#demsinphilly                 ","#demsinphilly                 "
"#demsinphilly                 ","#demsinphilly                 "
"#wemadehistory                ","#wemadehistory                "
"#rollcallvote                 ","#rollcallvote                 "
"#rollcallvote                 ","#rollcallvote                 "
"#wemadehistory                ","#wemadehistory                "
"#imwithher                    ","#demsinphilly                 "
"#imwithher                    ","#imwithher                    "
"#demsinphilly                 ","#demsinphilly                 "
"#demsinphilly                 ","#imwithher                    "
"#demsinphilly                 ","#demsinphilly                 "
"#demsinphilly                 ","#demsinphilly                 "
"#demsinphilly                 ","#demsinphilly                 "
"#wemadehistory                ","#wemadehistory                "
"#demconvention                ","#demconvention                "
"#demsinphl                    ","#demsinphl                    "
"#makeamericagreatagain        ","#makeamericagreatagain        "
"#trumppence16                 ","#maga                         "
"#trumppence16                 ","#trumppence16                 "
"#maga                         ","#maga                         "
